Symbol,Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
,NIMB,11/12/2024,242,245,238.5,238.5,-1.45%,"127,125.00","30,730,042.60"
,NIMB,11/11/2024,241.8,245.9,238.2,242,1.68%,"212,486.00","51,706,974.40"
,NIMB,11/10/2024,234,240,234,238,1.97%,"163,103.00","38,725,768.50"
,NIMB,11/6/2024,233.4,239.5,230.6,233.4,0.09%,"67,276.00","15,736,240.10"
,NIMB,11/5/2024,240,244.8,232.3,233.2,-1.19%,"98,181.00","23,082,622.00"
,NIMB,10/30/2024,240,242,235.3,236,-1.63%,"97,295.00","23,068,370.80"
,NIMB,10/29/2024,240,244.8,235.5,239.9,1.65%,"145,052.00","34,633,674.20"
,NIMB,10/28/2024,237,237,232,236,1.55%,"149,584.00","34,948,526.80"
,NIMB,10/27/2024,236,239,231.5,232.4,-1.53%,"101,645.00","23,764,647.70"
,NIMB,10/24/2024,245.9,245.9,233.3,236,-2.44%,"157,339.00","37,140,454.90"
,NIMB,10/23/2024,253,256,240,241.9,-3.63%,"285,813.00","70,117,107.10"
,NIMB,10/22/2024,248.1,253.6,246.1,251,0.92%,"143,147.00","35,872,403.10"
,NIMB,10/21/2024,258.6,258.6,248.2,248.7,-1.93%,"288,479.00","72,370,311.00"
,NIMB,10/20/2024,253,262.9,246,253.6,-0.98%,"441,708.00","112,853,472.90"
,NIMB,10/17/2024,254,264.9,253,256.1,0.83%,"409,538.00","106,276,689.30"
,NIMB,10/16/2024,250,257,247.1,254,2.96%,"227,412.00","57,372,161.00"
,NIMB,10/15/2024,245,248.6,241.1,246.7,2.37%,"99,684.00","24,486,301.50"
,NIMB,10/9/2024,241,243,238.1,241,0.17%,"84,218.00","20,195,552.20"
,NIMB,10/8/2024,245,247.9,240.3,240.6,-1.80%,"91,492.00","22,247,252.00"
,NIMB,10/7/2024,240,246,240,245,2.30%,"248,821.00","60,689,469.80"
,NIMB,10/6/2024,234,239.5,232,239.5,2.79%,"208,583.00","49,365,486.90"
,NIMB,10/2/2024,230,238,230,233,-0.60%,"205,891.00","48,435,494.40"
,NIMB,10/1/2024,226,236,226,234.4,3.72%,"201,486.00","46,831,132.50"
,NIMB,9/30/2024,223.7,228.2,221.2,226,0.98%,"120,650.00","27,222,648.70"
,NIMB,9/29/2024,224,225,219,223.8,0.36%,"108,683.00","24,157,446.20"
,NIMB,9/26/2024,225,228,221.1,223,-0.89%,"93,504.00","20,941,851.50"
,NIMB,9/25/2024,219,225,215.9,225,4.17%,"182,441.00","40,340,694.50"
,NIMB,9/24/2024,222,227.9,216,216,-3.57%,"160,907.00","35,361,676.70"
,NIMB,9/23/2024,233,233,223.8,224,-2.18%,"152,930.00","34,572,194.40"
,NIMB,9/22/2024,234,240.9,226.4,229,-0.22%,"116,177.00","26,850,890.20"
,NIMB,9/18/2024,226,231.5,221.5,229.5,1.55%,"135,497.00","30,831,959.60"
,NIMB,9/16/2024,231,231,225,226,-2.16%,"240,945.00","54,827,014.50"
,NIMB,9/15/2024,236.5,244.5,230,231,-1.07%,"254,419.00","60,808,148.70"
,NIMB,9/12/2024,229.5,233.5,225,233.5,3.78%,"183,147.00","42,186,866.10"
,NIMB,9/11/2024,228.1,232.4,223.5,225,-0.75%,"190,415.00","43,258,145.00"
,NIMB,9/10/2024,226.8,235.8,224.5,226.7,0.09%,"244,663.00","56,286,354.70"
,NIMB,9/9/2024,235,237,225.2,226.5,-4.03%,"332,867.00","76,553,687.80"
,NIMB,9/8/2024,246,246,235.2,236,-2.40%,"193,734.00","46,515,610.90"
,NIMB,9/5/2024,243.9,246,235.2,241.8,-0.86%,"266,980.00","64,165,153.80"
,NIMB,9/4/2024,259,259,242,243.9,-3.98%,"299,974.00","73,733,422.50"
,NIMB,9/3/2024,258,262.1,251.6,254,0.20%,"284,479.00","73,005,262.70"
,NIMB,9/2/2024,237.2,253.5,234,253.5,6.96%,"416,418.00","102,471,168.10"
,NIMB,9/1/2024,243.1,249,236,237,-3.93%,"264,342.00","63,658,500.40"
,NIMB,8/29/2024,254,257.9,245.1,246.7,-2.49%,"327,117.00","81,160,905.70"
,NIMB,8/28/2024,257,263.9,250,253,0.40%,"405,273.00","103,768,078.50"
,NIMB,8/27/2024,271.4,271.4,250,252,-5.30%,"703,842.00","179,626,810.70"
,NIMB,8/25/2024,283.5,283.5,265,266.1,-4.28%,"559,948.00","150,996,157.10"
,NIMB,8/22/2024,281,284.6,276,278,-1.07%,"458,274.00","128,385,428.30"
,NIMB,8/21/2024,286.5,289.9,270.2,281,0.00%,"759,352.00","211,865,206.70"
,NIMB,8/18/2024,278.4,295,274,281,2.93%,"1,390,334.00","401,161,773.70"
,NIMB,8/15/2024,253.9,273.9,250,273,9.64%,"1,693,799.00","459,225,337.70"
,NIMB,8/14/2024,249.7,252,239,249,1.67%,"591,867.00","145,146,261.70"
